StationID,ActivityStartDate,ActivityStartTime/Time,secchi_units,secchi,source
CW-207,6/22/2017,12:41:00 PM,m,0.5,DHEC
RL-17055,10/25/2017,12:16:00 PM,m,0.75,DHEC
CL-089,8/24/2017,12:38:00 PM,m,0.75,DHEC
CW-207,9/28/2017,12:42:00 PM,m,0.5,DHEC
RL-17071,6/13/2017,11:01:00 AM,m,0.3,DHEC
CL-089,11/20/2017,12:00:00 PM,m,1,DHEC
CW-016F,7/18/2017,11:35:00 AM,m,0.6,DHEC
CW-174,8/23/2017,10:49:00 AM,m,0.3,DHEC
RL-17055,4/26/2017,12:22:00 PM,m,0.5,DHEC
CW-016F,10/18/2017,10:58:00 AM,m,0.3,DHEC
CL-089,1/30/2017,11:31:00 AM,m,0.75,DHEC
CW-174,7/13/2017,11:11:00 AM,m,0.7,DHEC
RL-17055,9/28/2017,12:53:00 PM,m,0.5,DHEC
CL-089,5/30/2017,1:20:00 PM,m,0.6,DHEC
CW-057,5/11/2017,11:55:00 AM,m,0.6,DHEC
RL-17071,7/18/2017,12:05:00 PM,m,0.6,DHEC
RL-17071,5/11/2017,11:35:00 AM,m,0.3,DHEC
CL-089,4/26/2017,11:15:00 AM,m,1,DHEC
CW-207,4/26/2017,12:12:00 PM,m,0.5,DHEC
CW-231,8/23/2017,9:52:00 AM,m,1,DHEC
RL-17055,1/30/2017,12:36:00 PM,m,0.5,DHEC
CW-231,10/19/2017,10:51:00 AM,m,0.4,DHEC
RL-17127,5/16/2017,12:04:00 PM,m,0.3,DHEC
CW-207,12/5/2017,12:35:00 PM,m,0.75,DHEC
RL-17055,5/30/2017,12:36:00 PM,m,0.4,DHEC
RL-17055,11/20/2017,1:07:00 PM,m,0.75,DHEC
CW-174,10/19/2017,12:19:00 PM,m,0.3,DHEC
CW-231,7/13/2017,10:26:00 AM,m,0.7,DHEC
CW-033,10/19/2017,12:31:00 PM,m,0.3,DHEC
CW-207,11/20/2017,12:55:00 PM,m,0.75,DHEC
CW-033,6/14/2017,12:48:00 PM,m,0.8,DHEC
CW-174,5/16/2017,11:46:00 AM,m,0.3,DHEC
CW-222,2/28/2017,11:11:00 AM,m,0.5,DHEC
RL-17127,10/19/2017,12:45:00 PM,m,0.3,DHEC
CW-174,6/14/2017,12:16:00 PM,m,0.8,DHEC
RL-17132,5/16/2017,9:45:00 AM,m,0.3,DHEC
CW-016F,5/11/2017,11:10:00 AM,m,0.6,DHEC
CW-033,7/13/2017,11:27:00 AM,m,0.6,DHEC
CW-033,8/23/2017,11:35:00 AM,m,1,DHEC
CW-207,2/27/2018,12:34:00 PM,m,0.75,DHEC
RL-18083,8/8/2018,12:25:00 PM,m,0.25,DHEC
CW-033,6/18/2018,10:06:00 AM,m,1,DHEC
CW-057,7/12/2018,10:46:00 AM,m,1,DHEC
RL-18146,5/31/2018,10:50:00 AM,m,1.2,DHEC
CL-089,1/29/2018,10:52:00 AM,m,1,DHEC
RL-18083,1/29/2018,12:12:00 PM,m,0.5,DHEC
CW-016F,10/23/2018,2:43:00 PM,m,0.3,DHEC
RL-18083,5/29/2018,11:33:00 AM,m,0.5,DHEC
RL-18083,2/27/2018,12:53:00 PM,m,0.5,DHEC
CL-089,5/29/2018,10:22:00 AM,m,1,DHEC
CL-089,7/26/2018,10:36:00 AM,m,1.25,DHEC
CW-033,10/23/2018,11:07:00 AM,m,0.3,DHEC
CL-089,3/15/2018,11:10:00 AM,m,1,DHEC
RL-18146,6/18/2018,10:21:00 AM,m,1,DHEC
RL-18083,7/26/2018,11:28:00 AM,m,0.5,DHEC
CW-033,7/16/2018,2:30:00 PM,m,1.5,DHEC
CW-231,8/7/2018,12:00:00 PM,m,0.6,DHEC
CW-057,10/23/2018,3:09:00 PM,m,0.6,DHEC
RL-18146,10/23/2018,10:27:00 AM,m,1,DHEC
CL-089,4/25/2018,11:11:00 AM,m,0.75,DHEC
CW-016F,7/12/2018,10:22:00 AM,m,1,DHEC
CW-207,11/14/2018,11:46:00 AM,m,0.5,DHEC
CL-089,8/8/2018,10:25:00 AM,m,1,DHEC
CW-174,6/18/2018,10:35:00 AM,m,0.7,DHEC
CW-231,5/31/2018,9:56:00 AM,m,0.4,DHEC
RL-18146,7/16/2018,2:45:00 PM,m,1.75,DHEC
CW-033,8/7/2018,1:05:00 PM,m,0.6,DHEC
CW-207,8/8/2018,12:03:00 PM,m,0.5,DHEC
CW-231,10/23/2018,9:53:00 AM,m,1,DHEC
CW-207,3/15/2018,12:28:00 PM,m,0.5,DHEC
CL-089,2/27/2018,11:12:00 AM,m,0.75,DHEC
CW-207,7/26/2018,11:09:00 AM,m,0.5,DHEC
CW-174,7/16/2018,2:55:00 PM,m,0.6,DHEC
CW-207,5/29/2018,11:15:00 AM,m,0.75,DHEC
CW-207,4/25/2018,12:16:00 PM,m,0.5,DHEC
CL-089,11/14/2018,10:41:00 AM,m,1,DHEC
CW-231,6/18/2018,11:25:00 AM,m,0.8,DHEC
CW-231,7/16/2018,1:40:00 PM,m,1.75,DHEC
CW-207,1/29/2018,11:47:00 AM,m,0.75,DHEC
CW-033,5/31/2018,10:35:00 AM,m,1.1,DHEC
CW-174,10/23/2018,10:46:00 AM,m,0.3,DHEC
RL-18146,8/7/2018,12:31:00 PM,m,0.6,DHEC
CW-174,8/7/2018,12:45:00 PM,m,0.6,DHEC
RL-18083,3/15/2018,12:50:00 PM,m,0.5,DHEC
RL-18083,11/14/2018,12:08:00 PM,m,0.25,DHEC
CW-174,5/31/2018,11:17:00 AM,m,0.3,DHEC
CW-207,1/10/2019,11:52:00 AM,m,0.25,DHEC
LCR-02,6/18/2019,2:20:00 PM,m,0.3,DHEC
RL-19149,7/2/2019,11:09:00 AM,m,1.75,DHEC
CW-057,9/3/2019,9:39:00 AM,m,0.7,DHEC
LCR-01,10/1/2019,12:03:00 PM,m,0.65,DHEC
LCR-04,9/3/2019,11:02:00 AM,m,0.8,DHEC
LCR-01,8/6/2019,1:10:00 PM,m,0.6,DHEC
CW-057F,8/20/2019,9:20:00 AM,m,0.82,DHEC
RL-19254,9/17/2019,10:59:00 AM,m,0.9,DHEC
RL-19166,12/16/2019,12:26:00 PM,m,0.5,DHEC
LCR-04,8/20/2019,10:32:00 AM,m,0.9,DHEC
CW-208,8/27/2019,1:03:00 PM,m,0.55,DHEC
LCR-05,10/15/2019,9:50:00 AM,m,0.35,DHEC
LCR-04,10/1/2019,10:56:00 AM,m,0.8,DHEC
CW-208,8/13/2019,3:58:00 PM,m,0.6,DHEC
RL-19254,12/10/2019,3:16:00 PM,m,1,DHEC
LCR-01,6/11/2019,2:00:00 PM,m,0.3,DHEC
CW-016F,3/27/2019,2:14:00 PM,m,1.6,DHEC
RL-19166,10/24/2019,12:04:00 PM,m,1,DHEC
LCR-01,9/3/2019,11:55:00 AM,m,0.5,DHEC
CW-057,7/9/2019,10:03:00 AM,m,1.1,DHEC
CW-057,8/20/2019,9:20:00 AM,m,0.82,DHEC
CW-033,12/10/2019,2:47:00 PM,m,1,DHEC
CW-057,10/22/2019,2:18:00 PM,m,0.4,DHEC
CW-208,10/23/2019,2:16:00 PM,m,0.7,DHEC
RL-19166,6/3/2019,12:56:00 PM,m,0.5,DHEC
LCR-05,10/29/2019,10:35:00 AM,m,0.75,DHEC
CW-231,2/21/2019,1:22:00 PM,m,0.6,DHEC
CW-057,8/6/2019,10:06:00 AM,m,0.8,DHEC
CW-057,6/25/2019,10:27:00 AM,m,0.8,DHEC
CL-089,10/23/2019,9:19:00 AM,m,1.2,DHEC
CW-016,3/27/2019,2:00:00 PM,m,1.2,DHEC
CW-231,3/27/2019,9:33:00 AM,m,1.2,DHEC
LCR-05,9/17/2019,10:58:00 AM,m,0.7,DHEC
LCR-02,7/15/2019,1:19:00 PM,m,0.8,DHEC
RL-19149,2/28/2019,9:55:00 AM,m,0.4,DHEC
CW-057,7/2/2019,2:27:00 PM,m,1.75,DHEC
CW-057,7/25/2019,10:07:00 AM,m,0.8,DHEC
CW-207,7/30/2019,11:58:00 AM,m,0.75,DHEC
CW-207,11/13/2019,11:58:00 AM,m,0.75,DHEC
CW-174,12/10/2019,2:31:00 PM,m,0.6,DHEC
LCR-05,10/1/2019,10:26:00 AM,m,0.85,DHEC
LCR-01,7/9/2019,12:42:00 PM,m,0.6,DHEC
CW-057,2/21/2019,11:53:00 AM,m,0.4,DHEC
RL-19258,12/10/2019,9:58:00 AM,m,1.1,DHEC
CW-057,6/11/2019,10:47:00 AM,m,0.4,DHEC
